Entity,Code,Year,Aquaculture_production,x_position,y_position
China,CHN,2020,70483540.0,464,119
Indonesia,IDN,2020,14845014.0,22,180
India,IND,2020,8641286.0,111,250
Vietnam,VNM,2020,4681435.0,666,330
Bangladesh,BGD,2020,2583866.0,641,200
South Korea,KOR,2020,2334232.2,272,238
Philippines,PHL,2020,2322831.5,319,309
Egypt,EGY,2020,1591896.0,40,77
Chile,CHL,2020,1505486.0,150,100
Norway,NOR,2020,1490412.0,168,312
Myanmar,MMR,2020,1145018.0,380,370
Thailand,THA,2020,1012650.0,95,366
Japan,JPN,2020,998938.8,420,255
Ecuador,ECU,2020,774528.94,202,44
North Korea,PRK,2020,680300.0,485,327
Brazil,BRA,2020,630500.2,550,250
Iran,IRN,2020,480500.0,5,290
United States,USA,2020,448534.62,0,0
Turkey,TUR,2020,421411.0,250,355
Cambodia,KHM,2020,400400.0,630,0
Malaysia,MYS,2020,400017.0,350,20
